"                        $29,990,000.00",Lakefront home on Hecla Island.,< 2 minutes ago
"                        $2,250.00",Brand New Modern Townhomes in Crescentwood - 4 units available,< 6 minutes ago
"                        $2,600.00","Downtown location, Glass House - furnished 1 Bedroom",< 6 minutes ago
                         Please Contact,Beautiful 2 Bedroom Condo in Linden Woods - 341-230 Fairhaven Rd,< 6 minutes ago
                         Please Contact,Gorgeous 2 Bedroom Furnished Condo - 701-245 Wellington Crescent,< 6 minutes ago
"                        $1,550.00","Crescentwood, main floor unfurnished unit $1550.00/mth",< 6 minutes ago
"                        $1,700.00",2 Bedroom Townhouse Condo Near U of M,< 6 minutes ago
"                        $3,600.00","Beautifully Furnished 2 Bed, 2 Bath on Academy",< 6 minutes ago
"                        $1,250.00",Unique Bachelor condo in the Exchange District,< 6 minutes ago
"                        $2,300.00","Beautiful furnished 2 bedroom condo, Fort Garry",< 6 minutes ago
"                        $1,800.00","Available July 1st!  Great location, Townhouse South Osborne",< 6 minutes ago
"                        $1,300.00","Unfurnished 2 Bedroom, 1 Bathroom Condo on Kenaston $1300/mo",< 6 minutes ago
"                        $216,000.00","South of Portage by Bourkevale CC, 2/1 plus Den and Dbl Garage",< 6 minutes ago
                        $230.00,Roomate Needed,< 9 minutes ago
"                        $229,900.00",Recently renovated two story home ..,< 12 minutes ago
"                        $120,000.00",We Buy Houses CASH in 5 Days or LESS 204-222-0022,< 16 minutes ago
"                        $333,333.00",House for SALE,< 17 minutes ago
                        $450.00,Room for rent near university of Manitoba,< 18 minutes ago
"                        $1,000.00",3 Bedroom Home For Rent,< 27 minutes ago
"                        $1,225.00",Brand New 1 & 2 Bedroom Apartments Beside Outlet Mall,< 30 minutes ago
"                        $1,455.00",NEW 2 Bedroom Apartments in the Bridgewater Trails Neighborhood,< 31 minutes ago
"                        $1,225.00",NEW 1 Bedroom Apartments in the Bridgewater Trails Neighborhood,< 31 minutes ago
"                        $1,450.00",Gorgeous Brand New Luxury Unit for Rent - St Boniface,< 36 minutes ago
                        $946.00,1 bedroom apartment for SUBLET(near by U of M),< 40 minutes ago
                        $650.00,A DOUBLE ROOM  FOR RENT CLOSE THE UNIVERSITY OF MANITOBA,< 40 minutes ago
"                        $1,050.00",Corydon Village-535 McMillan Ave,< 43 minutes ago
"                        $1,450.00",1200sqft 2 bedroom 2 bathroom - river view - underground parking,< 44 minutes ago
                        $950.00,***2  Bedroom Lower Unit on St. Johns Avenue ***,< 45 minutes ago
                         Please Contact,Beautiful Home for sale in the Garden City area.,< 45 minutes ago
                        $650.00,A LARGE ROOM FOR RENT CLOSE THE UNIVERSITY OF MANITOBA,< 45 minutes ago
"                        $1,300.00",Rarely available 3 bedroom in St Boniface,< 46 minutes ago
                        $884.00,Osborne apartment $884 River Ave,< 46 minutes ago
                         Please Contact,1  OR 2 BDRM APT FOR RENT,< 47 minutes ago
"                        $1,210.00",Bright two bedroom condo beside the river near downtown,< 47 minutes ago
"                        $1,225.00",House Rental,< 51 minutes ago
"                        $1,400.00",*** 3 Bedroom with a huge basement Side by Side Duplex ***,< 51 minutes ago
                        $500.00,Room For Rent,< 55 minutes ago
"                        $190,000.00",A GREAT RETIREMENT CONDO ALTERNATIVE!,< 56 minutes ago
"                        $1,600.00",Stunning Brand New Luxury Unit for Rent - St Boniface,< 57 minutes ago
                         Please Contact,Condos for Sale in South Part of the City,< 57 minutes ago
"                        $229,000.00","848 Downing Street , Wpg MB",< 58 minutes ago
"                        $190,000.00","MODERN MOBILE HOME WITH MILLION DOLLAR VIEW FOR UNDER $200,000!",< 59 minutes ago
"                        $1,900.00",2 Bedroom Charleswood house for rent,< 2 hours ago
"                        $185,000.00",Vacant Land in Charleswood! 900 Elmhurst Rd.,< 2 hours ago
"                        $279,900.00",Calling all Developers! 625 St. Mary's Rd.,< 2 hours ago
"                        $229,900.00",Calling all Builders! 116 Imperial Ave.,< 2 hours ago
"                        $129,000.00",Condo at 476 Kenaston for Sale!,< 2 hours ago
"                        $179,000.00",Upgraded House for Sale! 974 College Ave.,< 2 hours ago
"                        $479,720.00",River Heights House for Sale! 720 Renfrew St.,< 2 hours ago
"                        $515,000.00",Beautiful Duplex in Crescentwood! 719 Scotland Ave.,< 2 hours ago
"                        $518,000.00","Beautiful, Newer Crescentwood Duplex! 773 Scotland Ave.",< 2 hours ago
"                        $119,900.00",Calling all Flippers/Developers! 1069 Strathcona St.,< 2 hours ago
                        $730.00,SxS St Boniface home for rent,< 2 hours ago
"                        $234,695.00",Charming Fort Rogue House! 695 Jubilee Ave.,< 2 hours ago
"                        $115,900.00","2-105 Scotia Street - $115,900 - STOP RENTING & OWN A HOME!!",< 2 hours ago
"                        $1,705.00","PET FRIENDLY, In Suite Laundry, PRIVATE BALCONY, Starbucks",< 2 hours ago
"                        $1,705.00","IN SUITE LAUNDRY, Fitness Centre, PRIVATE BALCONY, Starbucks",< 2 hours ago
"                        $254,900.00",Beautiful North Kildonan 3 Bdrm home with O/S double garage,< 2 hours ago
                         Please Contact,House for sale in Altona - 75 Redwood Bay,< 2 hours ago
                        $700.00,Wanted:Wanted place to rent,< 2 hours ago
"                        $2,345.00",LXTX - Fenwick Apartment for Rent,< 2 hours ago
"                        $1,385.00",LXTX - Parker Apartment for Rent,< 2 hours ago
"                        $1,605.00",LXTX - Hudson Apartment for Rent,< 2 hours ago
"                        $1,115.00",New 2 Bedroom Apartment for Sublet,< 2 hours ago
"                        $1,300.00",Condo for Rent,< 2 hours ago
"                        $147,500.00",Two Bedroom Condo in West Transcona - Jennifer Queen,< 2 hours ago
                        $1.00,Wanted:Parking spot NEEDED immediately,< 2 hours ago
"                        $59,900.00",#5-821 Thornhill St. Morden,< 2 hours ago
                        $940.00,North end 2 bedroom house for rent $940.00,< 2 hours ago
"                        $395,000.00","Lakefront cabin on Pinawa Bay, minutes from Lac du Bonnet",< 2 hours ago
"                        $1,630.00","IN SUITE LAUNDRY, Fitness Centre, PRIVATE BALCONY, Starbucks",< 2 hours ago
                         Please Contact,"Cottage Lots for Sale - Pelican Inlet, MB",< 2 hours ago
"                        $75,000.00",Attn Infill Builders: 25 x 130 Lot W/Teardown on Redwood,< 2 hours ago
"                        $1,445.00",BRAND NEW 2 BEDROOM TOWNHOME IN SELKIRK - OPENING JAN. 2020,< 2 hours ago
"                        $1,445.00",BRAND NEW 2 BEDROOM TOWNHOME IN SELKIRK - OPENING JAN. 2020,< 2 hours ago
"                        $1,595.00",BRAND NEW 3 BEDROOM TOWNHOME IN SELKIRK - OPENING NOV 2019,< 2 hours ago
